PMID,Title,Author,Abstract
32739882,Comparison and validation of seven white matter hyperintensities segmentation software in elderly patients,Quentin Vanderbecq,"Background: Manual segmentation is currently the gold standard to assess white matter hyperintensities (WMH), but it is time consuming and subject to intra and inter-operator variability. Purpose: To compare automatic methods to segment white matter hyperintensities (WMH) in the elderly in order to assist radiologist and researchers in selecting the most relevant method for application on clinical or research data. Material and methods: We studied a research dataset composed of 147 patients, including 97 patients from the Alzheimer's Disease Neuroimaging Initiative (ADNI) 2 database and 50 patients from ADNI 3 and a clinical routine dataset comprising 60 patients referred for cognitive impairment at the Pitié-Salpêtrière hospital (imaged using four different MRI machines). We used manual segmentation as the gold standard reference. Both manual and automatic segmentations were performed using FLAIR MRI. We compared seven freely available methods that produce segmentation mask and are usable by a radiologist without a strong knowledge of computer programming: LGA (Schmidt et al., 2012), LPA (Schmidt, 2017), BIANCA (Griffanti et al., 2016), UBO detector (Jiang et al., 2018), W2MHS (Ithapu et al., 2014), nicMSlesion (with and without retraining) (Valverde et al., 2019, 2017). The primary outcome for assessing segmentation accuracy was the Dice similarity coefficient (DSC) between the manual and the automatic segmentation software. Secondary outcomes included five other metrics. Results: A deep learning approach, NicMSlesion, retrained on data from the research dataset ADNI, performed best on this research dataset (DSC: 0.595) and its DSC was significantly higher than that of all others. However, it ranked fifth on the clinical routine dataset and its performance severely dropped on data with artifacts. On the clinical routine dataset, the three top-ranked methods were LPA, SLS and BIANCA. Their performance did not differ significantly but was significantly higher than that of other methods. Conclusion: This work provides an objective comparison of methods for WMH segmentation. Results can be used by radiologists to select a tool."
32739438,Time Analysis of Online Adaptive Magnetic Resonance-Guided Radiation Therapy Workflow According to Anatomical Sites,Görkem Güngör,"Purpose: To document time analysis of detailed workflow steps for the online adaptive magnetic resonance-guided radiation therapy treatments (MRgRT) with the ViewRay MRIdian system and to identify the barriers to and solutions for shorter treatment times. Methods and materials: A total of 154 patients were treated with the ViewRay MRIdian system between September 2018 and October 2019. The time process of MRgRT workflow steps of 962 fractions for 166 treatment sites was analyzed in terms of patient and online adaptive treatment (ART) characteristics. Results: Overall, 774 of 962 fractions were treated with online ART, and 83.2% of adaptive fractions were completed in less than 60 minutes. Sixty-three percent, 50.3%, and 4.2% of fractions were completed in less than 50 minutes, 45 minutes, and 30 minutes, respectively. Eight-point-three percent and 3% of fractions were completed in more than 70 minutes and 80 minutes, respectively. The median time (tmed) for ART workflow steps were as follows: (1) setup tmed: 5.0 minutes, (2) low-resolution scanning tmed: 1 minute, (3) high-resolution scanning tmed: 3 minutes, (4) online contouring tmed: 9 minutes, (5) reoptimization with online quality assurance tmed: 5 minutes, (6) real targeting tmed: 3 minutes, (7) beam delivery with gating tmed: 17 minutes, and (8) net total treatment time tmed: 45 minutes. The shortest and longest tmean rates of net total treatment time were 41.59 minutes and 64.43 minutes for upper-lung-lobe-located thoracic tumors and ultracentrally located thoracic tumors, respectively. Conclusions: To our knowledge, this is the first broad treatment-time analysis for online ART in the literature. Although treatment times are long due to human- and technology-related limitations, benefits offered by MRgRT might be clinically important. In the future, implementation of artificial intelligence segmentation, an increase in dose rate, and faster multileaf collimator and gantry speeds may lead to achieving shorter MRgRT treatments."
32738664,"Emotional ""inflection point"" in public health emergencies with the 2019 new coronavirus pneumonia (NCP) in China",Yan Zhang,"Background: The outbreak of the new coronavirus pneumonia (NCP) in Wuhan, Hubei, has caused very serious consequences and severely affected people's lives and mental health. The outbreak will cause bad emotions such as tension, anxiety, fear, and so on. College students who have returned home from school face infection, isolation, and delay in starting school, and thus, their emotional stress should be observed. Methods: This study used self-designed questionnaires and artificial intelligence (AI) to assess and analyze the emotional state of over 30,000 college students during the outbreak period in January (T1) and home quarantine in February (T2). This survey used online questionnaire (www.wjx.cn) to investigate the emotion information of college students. Results: In the T1 survey, the ""Typhoon Eye Effect"" appeared. College students in Hubei are calmer than those outside Hubei in T1. However, in T2, an emotional ""infection point"" appeared, there was an ""Exposure Effect"", the negative emotions of students in Hubei largely increased and became higher than students outside Hubei. Conclusion: This survey found that there is an emotional ""infection point"" in February among college students, especially in the Hubei area. College students in Hubei are calmer than those outside Hubei in T1. In contrast, college students in Hubei were more nervous and scared than those outside Hubei in T2. This epidemic has caused the students to experience significant pressure and negative emotions. Therefore, universities and society should pay attention to their emotional adjustment, there are some suggestions such as establish the mental health organizations, test students' emotion status regularly."
32737688,5G in healthcare: how fast will be the transformation?,Sathian Dananjayan,"The 5G technology, with its low latency, high speed, enhanced high-resolution bandwidth, superior reliability, and less energy consumption, is bound to transform telemedicine and the healthcare industry as a whole. This next-generation wireless networking technology has many far-reaching implications in both preventive and therapeutic care of the patients. Remote monitoring of patients is possible with wearables facilitated by robust sensors coupled to 5G network. Virtual patient consultation; augmented reality (AR) and virtual reality (VR)-based simulated surgeries; artificial intelligence (AI)-powered robotic surgeries; real-time maintenance of ambulances and other medical devices; and dynamic huge data repository are some of the other applications of 5G technology in the health sector."
32737415,Keratoconus-susceptibility gene identification by corneal thickness genome-wide association study and artificial intelligence IBM Watson,Yoshikatsu Hosoda,"Keratoconus is a common ocular disorder that causes progressive corneal thinning and is the leading indication for corneal transplantation. Central corneal thickness (CCT) is a highly heritable characteristic that is associated with keratoconus. In this two-stage genome-wide association study (GWAS) of CCT, we identified a locus for CCT, namely STON2 rs2371597 (P = 2.32 × 10-13), and confirmed a significant association between STON2 rs2371597 and keratoconus development (P = 0.041). Additionally, strong STON2 expression was observed in mouse corneal epithelial basal cells. We also identified SMAD3 rs12913547 as a susceptibility locus for keratoconus development using predictive analysis with IBM's Watson question answering computer system (P = 0.001). Further GWAS analyses combined with Watson could effectively reveal detailed pathways underlying keratoconus development."
32737379,Unbiased identification of novel subclinical imaging biomarkers using unsupervised deep learning,Sebastian M Waldstein,"Artificial intelligence has recently made a disruptive impact in medical imaging by successfully automatizing expert-level diagnostic tasks. However, replicating human-made decisions may inherently be biased by the fallible and dogmatic nature of human experts, in addition to requiring prohibitive amounts of training data. In this paper, we introduce an unsupervised deep learning architecture particularly designed for OCT representations for unbiased, purely data-driven biomarker discovery. We developed artificial intelligence technology that provides biomarker candidates without any restricting input or domain knowledge beyond raw images. Analyzing 54,900 retinal optical coherence tomography (OCT) volume scans of 1094 patients with age-related macular degeneration, we generated a vocabulary of 20 local and global markers capturing characteristic retinal patterns. The resulting markers were validated by linking them with clinical outcomes (visual acuity, lesion activity and retinal morphology) using correlation and machine learning regression. The newly identified features correlated well with specific biomarkers traditionally used in clinical practice (r up to 0.73), and outperformed them in correlating with visual acuity ([Formula: see text] compared to [Formula: see text] for conventional markers), despite representing an enormous compression of OCT imaging data (67 million voxels to 20 features). In addition, our method also discovered hitherto unknown, clinically relevant biomarker candidates. The presented deep learning approach identified known as well as novel medical imaging biomarkers without any prior domain knowledge. Similar approaches may be worthwhile across other medical imaging fields."
32737308,Explainable artificial intelligence model to predict acute critical illness from electronic health records,Simon Meyer Lauritsen,"Acute critical illness is often preceded by deterioration of routinely measured clinical parameters, e.g., blood pressure and heart rate. Early clinical prediction is typically based on manually calculated screening metrics that simply weigh these parameters, such as early warning scores (EWS). The predictive performance of EWSs yields a tradeoff between sensitivity and specificity that can lead to negative outcomes for the patient. Previous work on electronic health records (EHR) trained artificial intelligence (AI) systems offers promising results with high levels of predictive performance in relation to the early, real-time prediction of acute critical illness. However, without insight into the complex decisions by such system, clinical translation is hindered. Here, we present an explainable AI early warning score (xAI-EWS) system for early detection of acute critical illness. xAI-EWS potentiates clinical translation by accompanying a prediction with information on the EHR data explaining it."
32736849,"How Outcome Uncertainty Mediates Attention, Learning, and Decision-Making",Ilya E Monosov,"Animals and humans evolved sophisticated nervous systems that endowed them with the ability to form internal-models or beliefs and make predictions about the future to survive and flourish in a world in which future outcomes are often uncertain. Crucial to this capacity is the ability to adjust behavioral and learning policies in response to the level of uncertainty. Until recently, the neuronal mechanisms that could underlie such uncertainty-guided control have been largely unknown. In this review, I discuss newly discovered neuronal circuits in primates that represent uncertainty about future rewards and propose how they guide information-seeking, attention, decision-making, and learning to help us survive in an uncertain world. Lastly, I discuss the possible relevance of these findings to learning in artificial systems."
32736779,Overview of risk assessment models for venous thromboembolism in ambulatory patients with cancer,Grigoris T Gerotziafas,"A B S T R A C T Important progress has been made in the development of risk assessment models (RAM) for the identification of outpatients on anticancer treatment at risk of venous thromboembolism (VTE). Since the breakthrough publication of the original Khorana risk score (KRS) more than 10 years ago, a new generation of KRS-based scores have been developed, including the Vienna Cancer and Thrombosis Study, PROTECHT, CONKO, ONCOTEV, TicOnco and the CATS/MICA score. Among these the CATS/MICA score showed that a simplified score composed of only two calibrated predictors, the type of cancer and the D-dimer levels, offers a user-friendly tool for the evaluation of cancer-associated thrombosis (CAT) risk. The COMPASS-CAT score is the first that introduced a more synthetic approach of risk evaluation by combining cancer-related predictors with patient comorbidity in a score which is designed for the types of cancer frequently seen in the community (i.e. breast, lung colon or ovarian cancers) and has been externally validated in independent studies. The Throly score is registered as part of the same group as it has a similar structure to the COMPASS-CAT score and is applicable in patients with lymphoma. The incorporation of specific biomarkers of hypercoagulability to the RAM for CAT offers the possibility to perform a precision medicine approach in the prevention of CAT. The improvement of RAM for CAT with artificial intelligence methodologies and deep learning techniques is the challenge in the near future."
32736589,Prediction of the development of acute kidney injury following cardiac surgery by machine learning,Po-Yu Tseng,"Background: Cardiac surgery-associated acute kidney injury (CSA-AKI) is a major complication that results in increased morbidity and mortality after cardiac surgery. Most established prediction models are limited to the analysis of nonlinear relationships and fail to fully consider intraoperative variables, which represent the acute response to surgery. Therefore, this study utilized an artificial intelligence-based machine learning approach thorough perioperative data-driven learning to predict CSA-AKI. Methods: A total of 671 patients undergoing cardiac surgery from August 2016 to August 2018 were enrolled. AKI following cardiac surgery was defined according to criteria from Kidney Disease: Improving Global Outcomes (KDIGO). The variables used for analysis included demographic characteristics, clinical condition, preoperative biochemistry data, preoperative medication, and intraoperative variables such as time-series hemodynamic changes. The machine learning methods used included logistic regression, support vector machine (SVM), random forest (RF), extreme gradient boosting (XGboost), and ensemble (RF + XGboost). The performance of these models was evaluated using the area under the receiver operating characteristic curve (AUC). We also utilized SHapley Additive exPlanation (SHAP) values to explain the prediction model. Results: Development of CSA-AKI was noted in 163 patients (24.3%) during the first postoperative week. Regarding the efficacy of the single model that most accurately predicted the outcome, RF exhibited the greatest AUC (0.839, 95% confidence interval [CI] 0.772-0.898), whereas the AUC (0.843, 95% CI 0.778-0.899) of ensemble model (RF + XGboost) was even greater than that of the RF model alone. The top 3 most influential features in the RF importance matrix plot were intraoperative urine output, units of packed red blood cells (pRBCs) transfused during surgery, and preoperative hemoglobin level. The SHAP summary plot was used to illustrate the positive or negative effects of the top 20 features attributed to the RF. We also used the SHAP dependence plot to explain how a single feature affects the output of the RF prediction model. Conclusions: In this study, machine learning methods were successfully established to predict CSA-AKI, which determines risks following cardiac surgery, enabling the optimization of postoperative treatment strategies to minimize the postoperative complications following cardiac surgeries."
