PMID,Title,Author,Abstract
26511040,Neural Mechanisms and Children's Intellectual Development: Multiple Impacts of Environmental Factors,Hikaru Takeuchi,"Human psychometric intelligence can predict a number of important social and academic outcomes. Substantial parts of the variances of human intelligence and the brain volume supporting those abilities are explained by environmental factors, and during childhood, human brains have higher plasticity and also 60% of variance of intelligence that is explained by environmental factors. Here, we review the representative environmental factors known to affect human intellectual development during each developmental stage. We describe what is (and what is not) being investigated to determine how these factors affect human brain development through analyses of volumetrical and cortical structures. In conclusion, environmental factors that affect children's intellectual development lead to three patterns of brain structural change. The first is global change in the brain structure, observed more often in the earlier phase of development. The second is structural changes concentrated in the medial prefrontal and adjacent areas and medial temporal areas, which are likely to be induced by stress in many cases. The third is sporadic region-specific change, likely to be primarily caused by use-dependent plasticity of the areas that is often observed in the later phase of development. These changes may underlie the alterations in children's intellectual development that is induced by environmental factors."
26315995,A quantitative review of healthcare professionals' questions to a local immunization advice service: 4299 enquiries from 3 years,Karen J Ford,"Background: Immunization advice services can support health professionals by providing rapid access to accurate and reliable current information and advice. The Vaccine Advice for Clinicians Service (VACCSline) is a service for health professionals working within the Thames Valley Area of the UK. Methods: We reviewed all 4299 enquiries received by VACCSline over 3 years. Queries were summarized by vaccine type and topic of enquiry. Associations with profession and workplace of the enquirer were tested using Fisher's exact tests. Results: Incomplete immunization status and non-UK schedules were the most common topics of enquiry. Practice nurses were the main service users followed by doctors. Enquiries varied by professional role. Alterations to the immunization programme led to temporary changes to enquiry content and some more persistent adjustments in the balance of enquiries were identified, such as an increase in enquiries relating to vaccination in pregnancy. Conclusions: The content of enquiries to VACCSline is broad, confirming the need for immunizers to have a wide knowledge base and access to specialist advice to assist with complex scenarios. Systematic data capture provided intelligence to guide training and materials to support immunizers. A wider networked application of this approach could improve support for immunizers."
26648140,The cognitive developmental profile associated with fragile X syndrome: A longitudinal investigation of cognitive strengths and weaknesses through childhood and adolescence,Eve-Marie Quintin,"Few studies have investigated developmental strengths and weaknesses within the cognitive profile of children and adolescents with fragile X syndrome (FXS), a single-gene cause of inherited intellectual impairment. With a prospective longitudinal design and using normalized raw scores (Z scores) to circumvent floor effects, we measured cognitive functioning of 184 children and adolescents with FXS (ages 6 to 16) using the Wechsler Scale of Intelligence for Children on one to three occasions for each participant. Participants with FXS received lower raw scores relative to the Wechsler Scale of Intelligence for Children normative sample across the developmental period. Verbal comprehension, perceptual organization, and processing speed Z scores were marked by a widening gap from the normative sample, while freedom from distractibility Z scores showed a narrowing gap. Key findings include a relative strength for verbal skills in comparison with visuospatial-constructive skills arising in adolescence and a discrepancy between working memory (weakness) and processing speed (strength) in childhood that diminishes in adolescence. Results suggest that the cognitive profile associated with FXS develops dynamically from childhood to adolescence. Findings are discussed within the context of aberrant brain morphology in childhood and maturation in adolescence. We argue that assessing disorder-specific cognitive developmental profiles will benefit future disorder-specific treatment research."
26343819,Managing bioengineering complexity with AI techniques,Jacob Beal,"Our capabilities for systematic design and engineering of biological systems are rapidly increasing. Effectively engineering such systems, however, requires the synthesis of a rapidly expanding and changing complex body of knowledge, protocols, and methodologies. Many of the problems in managing this complexity, however, appear susceptible to being addressed by artificial intelligence (AI) techniques, i.e., methods enabling computers to represent, acquire, and employ knowledge. Such methods can be employed to automate physical and informational ""routine"" work and thus better allow humans to focus their attention on the deeper scientific and engineering issues. This paper examines the potential impact of AI on the engineering of biological organisms through the lens of a typical organism engineering workflow. We identify a number of key opportunities for significant impact, as well as challenges that must be overcome."
26296774,The role of regulation in the origin and synthetic modelling of minimal cognition,Leonardo Bich,"In this paper we address the question of minimal cognition by investigating the origin of some crucial cognitive properties from the very basic organisation of biological systems. More specifically, we propose a theoretical model of how a system can distinguish between specific features of its interaction with the environment, which is a fundamental requirement for the emergence of minimal forms of cognition. We argue that the appearance of this capacity is grounded in the molecular domain, and originates from basic mechanisms of biological regulation. In doing so, our aim is to provide a theoretical account that can also work as a possible conceptual bridge between Synthetic Biology and Artificial Intelligence. In fact, we argue, Synthetic Biology can contribute to the study of minimal cognition (and therefore to a minimal AI), by providing a privileged approach to the study of these mechanisms by means of artificial systems."
26595715,Don't aim too high for your kids: Parental overaspiration undermines students' learning in mathematics,Kou Murayama,"Previous research has suggested that parents' aspirations for their children's academic attainment can have a positive influence on children's actual academic performance. Possible negative effects of parental overaspiration, however, have found little attention in the psychological literature. Employing a dual-change score model with longitudinal data from a representative sample of German school children and their parents (N = 3,530; Grades 5 to 10), we showed that parental aspiration and children's mathematical achievement were linked by positive reciprocal relations over time. Importantly, we also found that parental aspiration that exceeded their expectation (i.e., overaspiration) had negative reciprocal relations with children's mathematical achievement. These results were fairly robust after controlling for a variety of demographic and cognitive variables such as children's gender, age, intelligence, school type, and family socioeconomic status. The results were also replicated with an independent sample of U.S. parents and their children. These findings suggest that unrealistically high parental aspiration can be detrimental for children's achievement. (PsycINFO Database Record"
27703730,Exploring rationality in schizophrenia,Rasmus Revsbech,"Background: Empirical studies of rationality (syllogisms) in patients with schizophrenia have obtained different results. One study found that patients reason more logically if the syllogism is presented through an unusual content. Aims: To explore syllogism-based rationality in schizophrenia. Method: Thirty-eight first-admitted patients with schizophrenia and 38 healthy controls solved 29 syllogisms that varied in presentation content (ordinary v. unusual) and validity (valid v. invalid). Statistical tests were made of unadjusted and adjusted group differences in models adjusting for intelligence and neuropsychological test performance. Results: Controls outperformed patients on all syllogism types, but the difference between the two groups was only significant for valid syllogisms presented with unusual content. However, when adjusting for intelligence and neuropsychological test performance, all group differences became non-significant. Conclusions: When taking intelligence and neuropsychological performance into account, patients with schizophrenia and controls perform similarly on syllogism tests of rationality. Declaration of interest: None. Copyright and usage: © The Royal College of Psychiatrists 2015. This is an open access article distributed under the terms of the Creative Commons Non-Commercial, No Derivatives (CC BY-NC-ND) licence."
27512570,A benchmarking and comparative analysis of emotional intelligence in student and qualified radiographers: an international study,Stuart James Mackay,"Introduction: Emotional intelligence (EI) has been identified as an important trait for healthcare students and healthcare professionals alike and is a predictor of improved work performance and patient satisfaction. In this paper, we benchmark an international cohort of radiography students and compare their scores to those of known qualified practitioner and normative data. Methods: EI scores were at commencement from radiography degree programmes at four universities in Australia, Hong Kong, Republic of Ireland and the United Kingdom using the short form of the trait EI questionnaire (TEIQue-SF), which yields a Global score and four sub-factors. In total 293 students chose to participate. Results: For the Australian combined Irish and UK groups, there were significant differences in Global EI and three of the four sub-factors between students and qualified radiographers (Australia: students = 5.01, qualified = 5.27; P ≤ 0.01) (Irish/UK students = 5.04, qualified = 5.28; P ≤ 0.01). When compared to the UK normative data, there was a significant difference for Global EI between the UK students and the UK norm data set (students = 4.71, normative = 4.99; P ≤ 0.01). Conclusion: This study provides benchmarking data for an international radiography student group. The clear differences of higher EI scores for qualified practicing radiographers when compared to student score opens discussion of the impact of academic and clinical practicum as a contributing factor in EI skills development."
27447431,The U.S. Army Person-Event Data Environment: A Military-Civilian Big Data Enterprise,Loryana L Vie,"This report describes a groundbreaking military-civilian collaboration that benefits from an Army and Department of Defense (DoD) big data business intelligence platform called the Person-Event Data Environment (PDE). The PDE is a consolidated data repository that contains unclassified but sensitive manpower, training, financial, health, and medical records covering U.S. Army personnel (Active Duty, Reserve, and National Guard), civilian contractors, and military dependents. These unique data assets provide a veridical timeline capturing each soldier's military experience from entry to separation from the armed forces. The PDE was designed to afford unprecedented cost-efficiencies by bringing researchers and military scientists to a single computerized repository rather than porting vast data resources to individual laboratories. With funding from the Robert Wood Johnson Foundation, researchers from the University of Pennsylvania Positive Psychology Center joined forces with the U.S. Army Research Facilitation Laboratory, forming the scientific backbone of the military-civilian collaboration. This unparalleled opportunity was necessitated by a growing need to learn more about relations between psychological and health assets and health outcomes, including healthcare utilization and costs-issues of major importance for both military and civilian population health. The PDE represents more than 100 times the population size and many times the number of linked variables covered by the nation's leading sources of population health data (e.g., the National Health and Nutrition Examination Survey). Following extensive Army vetting procedures, civilian researchers can mine the PDE's trove of information using a suite of statistical packages made available in a Citrix Virtual Desktop. A SharePoint collaboration and governance management environment ensures user compliance with federal and DoD regulations concerning human subjects' protections and also provides a secure portal for multisite collaborations. Taking similarities and differences between military and civilian populations into account, PDE studies can provide much more detailed insight into health-related questions of broad societal concern. Finding ways to make the rich repository of digitized information in the PDE available through military-civilian collaboration can help solve critical medical and behavioral issues affecting the health and well-being of our nations' military and civilian populations."
27441405,Understanding Emergency Department 72-Hour Revisits Among Medicaid Patients Using Electronic Healthcare Records,James Ryan,"Electronic Healthcare Records (EHRs) have the potential to improve healthcare quality and to decrease costs by providing quality metrics, discovering actionable insights, and supporting decision-making to improve future outcomes. Within the United States Medicaid Program, rates of recidivism among emergency department (ED) patients serve as metrics of hospital performance that help ensure efficient and effective treatment within the ED. We analyze ED Medicaid patient data from 1,149,738 EHRs provided by a hospital over a 2-year period to understand the characteristics of the ED return visits within a 72-hour time frame. Frequent flyer patients with multiple revisits account for 47% of Medicaid patient revisits over this period. ED encounters by frequent flyer patients with prior 72-hour revisits in the last 6 months are thrice more likely to result in a readmit than those of infrequent patients. Statistical L1-logistic regression and random forest analyses reveal distinct patterns of ED usage and patient diagnoses between frequent and infrequent patient encounters, suggesting distinct opportunities for interventions to improve efficacy of care and streamline ED workflow. This work forms a foundation for future development of predictive models, which could flag patients at high risk of revisiting."
